Open Time,Open,High,Low,Close,Volume
2024-10-26 18:00:00,67062.01000000,67143.64000000,67027.14000000,67125.99000000,87.62677000
2024-10-26 18:15:00,67126.00000000,67126.00000000,67074.47000000,67106.76000000,38.98973000
2024-10-26 18:30:00,67106.75000000,67112.27000000,67068.00000000,67102.15000000,36.64963000
2024-10-26 18:45:00,67102.15000000,67105.00000000,67042.00000000,67042.00000000,39.09534000
2024-10-26 19:00:00,67042.00000000,67164.00000000,67042.00000000,67142.01000000,87.96186000
2024-10-26 19:15:00,67142.01000000,67159.27000000,67103.45000000,67121.77000000,51.82427000
2024-10-26 19:30:00,67121.77000000,67126.46000000,67086.00000000,67088.01000000,37.44357000
2024-10-26 19:45:00,67088.00000000,67181.82000000,67072.16000000,67177.99000000,40.44177000
2024-10-26 20:00:00,67178.00000000,67223.68000000,67144.00000000,67219.99000000,99.31294000
2024-10-26 20:15:00,67219.99000000,67363.64000000,67219.99000000,67363.43000000,120.79569000
2024-10-26 20:30:00,67363.42000000,67454.55000000,67250.00000000,67265.99000000,203.86885000
2024-10-26 20:45:00,67265.99000000,67328.71000000,67230.00000000,67265.46000000,46.57008000
2024-10-26 21:00:00,67265.46000000,67272.00000000,67216.35000000,67216.36000000,54.67831000
2024-10-26 21:15:00,67216.35000000,67237.04000000,67199.90000000,67199.99000000,29.61425000
2024-10-26 21:30:00,67199.99000000,67267.99000000,67134.00000000,67134.00000000,65.79772000
2024-10-26 21:45:00,67134.00000000,67196.00000000,67103.45000000,67176.82000000,114.84896000
2024-10-26 22:00:00,67176.82000000,67235.69000000,67148.58000000,67172.64000000,64.30707000
2024-10-26 22:15:00,67172.64000000,67172.65000000,67106.43000000,67139.09000000,37.15385000
2024-10-26 22:30:00,67139.08000000,67205.00000000,67135.35000000,67192.22000000,39.18790000
2024-10-26 22:45:00,67192.21000000,67192.22000000,67131.21000000,67132.00000000,38.95880000
2024-10-26 23:00:00,67132.00000000,67139.16000000,67089.33000000,67102.12000000,71.77689000
2024-10-26 23:15:00,67102.12000000,67137.49000000,67088.00000000,67118.76000000,33.07094000
